марка,модель,поколение,мощность,год,пробег,состояние,двери,кузов,топливо,трансмиссия,цвет,привод,руль,комплектация,цена
BMW,3 серия,E36,115,1991.0,506000.0,не битый,4.0,седан,бензин,механика,красный,задний,левый,Base,100000
BMW,7 серия,F01/F02,313,2013.0,89000.0,не битый,4.0,седан,дизель,автомат,белый,полный,левый,Base,1890000
BMW,5 серия,E39,245,2000.0,349000.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,450000
BMW,5 серия,E60/E61,272,2008.0,187000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Business,730000
BMW,5 серия,F10/F11,218,2015.0,122000.0,не битый,4.0,седан,дизель,автомат,синий,полный,левый,Base,1800000
BMW,5 серия,E28,125,1984.0,220000.0,не битый,4.0,седан,бензин,механика,серебряный,задний,левый,Base,70000
BMW,X6 M,E71,555,2009.0,47000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,M,2500000
BMW,1 серия,E81/E82/E87/E88,129,2005.0,210000.0,не битый,5.0,хетчбэк,бензин,автомат,синий,задний,левый,Base,450000
BMW,5 серия,F10/F11,245,2014.0,138000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Sport,1500000
BMW,3 серия,E90/E91/E92/E93,156,2009.0,134000.0,не битый,4.0,седан,бензин,автомат,голубой,задний,левый,Edition Exclusive,540000
BMW,X5,E53,231,2003.0,360000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,585000
BMW,3 серия,E46,150,1999.0,122000.0,не битый,4.0,седан,бензин,механика,синий,задний,левый,Base,300000
BMW,3 серия,E36,105,2000.0,261651.0,не битый,3.0,хетчбэк,бензин,механика,серый,задний,левый,Base,150000
BMW,5 серия,E34,192,1991.0,500000.0,битый,4.0,седан,бензин,механика,зелёный,задний,левый,Base,100000
BMW,X3,E83,218,2006.0,240000.0,не битый,5.0,внедорожник,дизель,автомат,серебряный,полный,левый,Base,750000
